Name;ID;Content;Comments;Retweet;Likes
Daniel Corredor;DanielC77670286;"#21NSomosTodos 
Nos tendrán que escuchar 
Somos más los que queremos un cambio serio y real. pic.twitter.com/Pv8pK5Sq1U";5;119;327
xngelx ???? #WALLS #FINELINE  ????;xngelx_sx;Piden protestas pacíficas pero ellos no son capaces de no ejercer violencia #21NSomosTodos pic.twitter.com/RNtIVKBGVy;2;50;97
?ocus ? ???? #DuqueChao ??;DIANABR0THERC0L;"Una mañana he despertado y DUQUE CHAO, DUQUE CHAO, DUQUE CHAO CHAO CHAO, Una mañana he despertado y hemos sacado al impostor.

Oh colombiano clama la lucha y DUQUE CHAO, DUQUE CHAO, DUQUE CHAO CHAO CHAO, oh colombiano vamo a la lucha por un futuro alentador  #21NSomosTodos";5;241;537
Adriana PAZ  ?;adrisgame;"Hoy somos los 18 niños y niñas asesinados por un gobierno incompetente. 
Representamos a 40 millones de Colombianos, somos sus voces! 
 #21NSomosTodos! pic.twitter.com/V0TvT95LuH";12;340;877
Juan Esteban.;juaneshernan26;"Cuando suena la alarma // Pero es para ir a marchar.
 #21NSomosTodos #ParoNacional21Novpic.twitter.com/VZTbsR5vQV";;86;470
Caricaturas del Yeyo;yeyonet;¡A las calles! #21NSomosTodos pic.twitter.com/ZAkWGQeSfi;4;254;661
Pau  ??;paupinzon21;#21NSomosTodos dejemos la indiferencia a un lado, y marchemos por un cambio, yo aún creo en ti, colombia. pic.twitter.com/ipK62j536X;1;73;230
mariapaula;mariapa05527055;Uribistas siguen diciendo que protestas del paro son culpa de Juan Manuel mmmm ya Juan Manuel fue el que mandó bombardear a los niños? O el que incumplió los acuerdos de paz? O el que dice que fracking no pero ya lo está implementando? Y así ?#21NSomosTodos;61;864;2.4K
Serris  ??;datoatipico;Hola Latinoamérica. ¡Hoy le toca a Colombia! #21NSomosTodos;10;320;986
Jesús David Correa;jesus_davidCo;Hoy a movilizarnos #21NSomosTodos pic.twitter.com/D9uLz6pqS4;2;24;108
ALEJANDRO AGUDELO;GRANALEJO1;#21NSomosTodos Apoyando la causa desde Sydney !Que viva Colombia carajo! pic.twitter.com/bhYncMKWYs;54;1.9K;6.2K
"Angie;  ????";Angie_Monsalve1;Me disculpan los que son de otros países y no entienden lo que realmente va a pasar hoy en Colombia, pero como no puedo ir a marchar, estaré todo el día apoyándolos desde aquí   #21NSomosTodos;6;154;438
Bivi@n@ Cruz;mafis0001;#21NSomosTodos desde Australia por qué el paro somos todos pic.twitter.com/UFDmpHB9i8;7;198;766
MaiBH;Bheronik;"#ParoNacional21Nov #21NSomosTodos 
 Dios guía este día! pic.twitter.com/q4MHoPRRJp";2;114;368
David Álvarez Tamayo;DavidAlTama;Yo marchare el #21Nov #21NSomosTodos pero también tengo claro que se protesta dando la cara, no a las capuchas pic.twitter.com/iL3dRdEUID;5;99;277
Rafael Andrés Uribe Munar;rafaelandresuri;#21NSomosTodos ya sea desde las redes sociales o las calles, así tengamos que trabajar.;1;31;106
malbuena #24N;malbuena;#21NSomosTodos pic.twitter.com/O3Mq6hzBVB;;7;10
